label,text
normal,তোমার জন্য শুভকামনা আগামী সপ্তাহে ঘুরতে যাবো আজ ভাত আর মাছ খেয়েছি জুতো কিনতে হবে
normal,আবার কথা হবে শরীরের যত্ন নাও আজ নতুন জামা কিনলাম
normal,কেমন আছো চল গান গাই তুমি কি কিছু কিনেছো রাতের খাবার প্রস্তুত তুমি কি খাচ্ছো
normal,তাড়াতাড়ি ফিরো চল হাসপাতাল যাই লাইব্রেরিতে যাচ্ছি আজকে বাইরে যাই গান শুনে মন ভালো লাগছে
normal,আজ ডিসকাউন্ট চলছে কোন গান শুনছো কেমন আছো তোমার জন্য অপেক্ষা করছি
normal,খবর কি আজ রাতে কি খাবে অনেকদিন পর কথা হলো সুপারশপে গিয়েছিলাম শীঘ্রই দেখা হবে
normal,তুমি কেমন আছো আজকের আবহাওয়া ভ্রমণের জন্য ভালো রাতের খাবার প্রস্তুত বাজারে ভিড় ছিলো
normal,হ্যালো বন্ধু ওয়েব সিরিজ শুরু করেছি বাবা কেমন আছেন অনেকদিন পর দেখা
normal,সুপারশপে গিয়েছিলাম রাতে সিনেমা দেখবো টিউশনে যাচ্ছি
normal,চলো ঘুরতে যাই রাতের খাবার প্রস্তুত কফি খেতে যাই বাবা কেমন আছেন
normal,তোমার সাথে দেখা করতে চাই আজ দিনটা সুন্দর আজ ক্লাস আছে দাম খুব বেশি ছিলো হ্যালো
normal,দাম খুব বেশি ছিলো তুমি কি কিছু কিনেছো কী খবর
normal,আমার মা আজ বাজারে গেছে চলো মজা করি রক্তচাপ মেপেছি বাবা কেমন আছেন আজ মিষ্টি খাওয়ার ইচ্ছে করছে
normal,আসসালামু আলাইকুম শুভ সকাল আগামীকাল কি প্ল্যান তোমার বোনের খবর কি
normal,গরম অনেক বেশি তাড়াতাড়ি ফিরো আজকের হোমওয়ার্ক শেষ করেছি
normal,তোমাকে মিস করছি জুতো কিনতে হবে জুতো কিনতে হবে ক্লাসে নতুন চ্যাপ্টার পড়ানো হয়েছে
normal,চল পিজ্জা খাই রক্তচাপ মেপেছি আগামীকাল কি প্ল্যান সুপারশপে গিয়েছিলাম
normal,কাল পরীক্ষা আছে নোটস তৈরি করছি আমার সাথে যোগাযোগ রেখো তুমি খুব ভালো বন্ধু বাবা কেমন আছেন
normal,টিভি সিরিয়াল দেখছি আজ ওষুধ খেয়েছো চল হাসপাতাল যাই আগামী সপ্তাহে ঘুরতে যাবো কাল পরীক্ষা আছে
normal,আশা করি শিগগির দেখা হবে কোন গান শুনছো আজ দিনটা সুন্দর জ্বর এসেছে কাজে ব্যস্ত আছি
normal,আজ দাদুর জন্মদিন তুমি খুব ভালো বন্ধু আজ রাতে কি খাবে
normal,তুমি কি পড়াশোনা করছো শুভ অপরাহ্ন আমার মা আজ বাজারে গেছে অফিসের কাজ শেষ করলাম অনলাইনে জিনিস অর্ডার করেছি
normal,সুপারশপে গিয়েছিলাম শুভ অপরাহ্ন ক্লাসে নতুন চ্যাপ্টার পড়ানো হয়েছে লাইব্রেরিতে যাচ্ছি
normal,আশা করি শিগগির দেখা হবে বন্ধুদের সাথে দেখা করবো খবর কি শরীরের যত্ন নাও আজ ভাত আর মাছ খেয়েছি
normal,আজকে বাইরে যাই আজকের হোমওয়ার্ক শেষ করেছি অনলাইনে জিনিস অর্ডার করেছি
normal,খবর কি আজকের হোমওয়ার্ক শেষ করেছি শরীরের যত্ন নাও আগামীকাল কি প্ল্যান
normal,ফল খুব পছন্দ করি হ্যালো বন্ধু দুধ গরম করছি বাজারে ভিড় ছিলো জুতো কিনতে হবে
